type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Database IDs,1MB,1048576,32,93468,198500,42004,34128,0,34212,3417,0,0,1359.92,1028.17,19.88,3.10,LINEAR_GEN,yes,32768.00,106.781,mzip
Timestamps (regular),1MB,1048576,32,560113,663735,454876,360996,0,361081,2693,0,0,610.45,312.35,18.08,4.43,LINEAR_GEN,yes,32768.00,84.156,mzip
Database IDs,256KB,262144,32,27349,49666,9531,9980,0,10063,937,0,0,404.10,336.08,15.73,0.69,LINEAR_GEN,yes,8192.00,29.281,mzip
Timestamps (regular),256KB,262144,32,139895,167795,111741,90436,0,90519,772,0,0,205.67,67.62,16.36,0.98,LINEAR_GEN,yes,8192.00,24.125,mzip
Database IDs,64KB,65536,32,8351,12480,2739,3388,0,3463,301,0,0,89.33,26.25,17.54,0.16,LINEAR_GEN,yes,2048.00,9.406,mzip
Timestamps (regular),64KB,65536,32,36609,43776,27625,22776,0,22852,287,0,0,83.84,10.64,17.15,0.21,LINEAR_GEN,yes,2048.00,8.969,mzip
Image gradient,256KB,262144,53,323,1125,774,576,0,662,602,0,0,174.59,3.71,17.86,0.09,NUMERIC,yes,4946.11,6.094,mzip
Image gradient,64KB,65536,39,212,318,377,268,0,351,264,0,0,73.32,1.10,13.80,0.03,NUMERIC,yes,1680.41,5.436,mzip
Timestamps (regular),16KB,16384,32,8881,11285,6968,5888,0,5965,160,0,0,60.22,2.10,12.67,0.06,LINEAR_GEN,yes,512.00,5.000,mzip
JSON API,1MB,1048457,10046,60095,88600,59380,49256,0,49339,87856,0,0,2264.62,1706.00,37.42,1.08,TEMPLATE,yes,104.37,4.903,mzip
Timestamps (regular),4KB,4096,30,2243,2860,2005,1644,0,1721,142,0,0,50.75,0.50,14.59,0.02,LINEAR_GEN,yes,136.53,4.733,mzip
JSON API,256KB,262081,2874,15975,22459,15455,13092,0,13176,22702,0,0,663.52,509.94,17.11,0.28,TEMPLATE,yes,91.19,4.555,mzip
Database IDs,4KB,4096,30,389,847,577,456,0,532,126,0,0,53.47,2.06,13.69,0.02,LINEAR_GEN,yes,136.53,4.200,mzip
Database IDs,16KB,16384,32,1478,3160,1024,1196,0,1273,131,0,0,75.00,15.13,12.94,0.06,LINEAR_GEN,yes,512.00,4.094,mzip
JSON API,64KB,65392,1016,4211,5807,4196,3740,0,3816,5868,0,0,97.29,60.16,12.92,0.09,TEMPLATE,yes,64.36,3.681,mzip
Image gradient,1MB,1048576,124,397,4378,1048,1580,0,1665,1769,0,0,524.35,11.37,16.79,0.26,NUMERIC,yes,8456.26,3.202,mzip
XML document,1MB,1048528,10383,36811,72735,48964,30256,0,30339,63665,0,0,2503.67,1757.12,33.95,1.08,LINE_GROUP_TPL,yes,100.99,2.914,mzip
XML document,256KB,262048,2966,10168,18591,12942,8180,0,8264,16664,0,0,827.95,555.60,23.15,0.27,LINE_GROUP_TPL,yes,88.35,2.758,mzip
Audio PCM,64KB,65536,1696,4363,4824,7031,4428,0,4512,11229,0,0,98.53,1.15,16.49,0.02,NUMERIC,yes,38.64,2.573,mzip
Audio PCM,256KB,262144,1708,4378,6103,9108,4456,0,4542,14091,0,0,207.51,3.02,16.66,0.08,NUMERIC,yes,153.48,2.563,mzip
Audio PCM,16KB,16384,1703,4362,4476,6517,4400,0,4475,7150,0,0,75.28,0.41,15.35,0.02,NUMERIC,yes,9.62,2.561,mzip
Audio PCM,1MB,1048576,1774,4444,11233,19953,4568,0,4653,19743,0,0,618.99,8.98,12.66,0.25,NUMERIC,yes,591.08,2.505,mzip
JSON API,16KB,16320,488,1163,1620,1220,1228,0,1306,1646,0,0,27.79,15.34,13.10,0.03,TEMPLATE,yes,33.44,2.383,mzip
XML document,64KB,65499,1020,2814,4922,3480,2288,0,2365,4156,0,0,168.49,64.48,16.35,0.08,LINE_GROUP_TPL,yes,64.21,2.243,mzip
Float temperature,1MB,1048576,155452,453500,478563,449012,338980,0,339063,644801,0,0,1532.90,348.15,17.39,3.56,NUMERIC,yes,6.75,2.181,mzip
Float temperature,256KB,262144,41413,113864,118803,116520,89780,0,89863,153815,0,0,406.86,75.15,18.08,0.86,NUMERIC,yes,6.33,2.168,mzip
Audio PCM,4KB,4096,1582,4052,4062,4180,4052,0,4127,3424,0,0,54.82,0.42,12.95,0.02,NUMERIC,yes,2.59,2.164,mzip
Float temperature,16KB,16384,3493,8494,8679,9165,7424,0,7499,11237,0,0,82.07,3.85,17.92,0.07,NUMERIC,yes,4.69,2.125,mzip
Float temperature,64KB,65536,11817,28686,29695,29786,23492,0,23567,38911,0,0,158.90,23.88,18.11,0.20,NUMERIC,yes,5.55,1.988,mzip
Word template,256KB,262144,374,740,2549,1596,940,0,1026,968,0,0,365.88,5.20,16.88,0.09,WORD_TEMPLATE,yes,700.92,1.979,mzip
Image gradient,16KB,16384,38,74,109,127,152,0,228,158,0,0,72.92,0.14,19.05,0.01,NUMERIC,yes,431.16,1.947,mzip
Float temperature,4KB,4096,1296,2549,2601,2794,2464,0,2542,2612,0,0,63.13,1.09,13.48,0.02,NUMERIC,yes,3.16,1.901,mzip
Word template,1MB,1048576,436,806,7678,3305,1052,0,1137,1034,0,0,2613.82,10.65,16.49,0.27,WORD_TEMPLATE,yes,2404.99,1.849,mzip
XML document,16KB,16329,476,848,1388,1078,908,0,984,1311,0,0,82.09,20.33,13.74,0.03,LINE_GROUP_TPL,yes,34.30,1.782,mzip
Sparse bitmap,4KB,4096,62,105,128,116,172,0,250,204,0,0,60.05,4.38,13.80,0.02,SPARSE,yes,66.06,1.694,mzip
GPS coordinates,4KB,4096,673,2363,2493,3043,1760,0,1836,1138,0,0,59.97,0.94,13.63,0.03,NUMERIC,yes,6.09,1.691,mzip
Word template,4KB,4096,423,641,735,674,752,0,829,796,0,0,60.45,2.52,16.62,0.03,WORD_TEMPLATE,yes,9.68,1.515,mzip
Integer array,4KB,4096,283,1088,1512,1397,784,0,861,427,0,0,61.86,0.93,16.77,0.03,NUMERIC,yes,14.47,1.509,mzip
Word template,16KB,16384,495,724,931,1055,884,0,962,908,0,0,77.66,2.17,18.50,0.02,WORD_TEMPLATE,yes,33.10,1.463,mzip
JSON API,4KB,3955,276,397,516,464,504,0,579,556,0,0,7.33,2.04,12.31,0.01,TEMPLATE,yes,14.33,1.438,mzip
Sparse bitmap,16KB,16384,192,336,347,275,448,0,525,445,0,0,86.36,14.31,17.65,0.02,SPARSE,yes,85.33,1.432,mzip
Integer array,16KB,16384,896,4257,5750,5545,2396,0,2472,1259,0,0,99.96,3.52,31.45,0.09,NUMERIC,yes,18.29,1.405,mzip
Word template,64KB,65536,526,724,1271,1313,912,0,997,935,0,0,95.07,3.03,15.68,0.03,WORD_TEMPLATE,yes,124.59,1.376,mzip
Integer array,64KB,65536,3350,40250,22832,22247,8080,0,8156,4536,0,0,107.19,13.25,17.26,0.12,NUMERIC,yes,19.56,1.354,mzip
Makefile,1MB,1048576,47666,71438,100273,77697,63744,0,63827,89653,0,0,2305.47,1250.76,15.24,0.97,UNKNOWN,yes,22.00,1.337,mzip
Integer array,256KB,262144,13213,115832,91036,89248,29700,0,29786,17487,0,0,258.55,54.02,16.43,0.89,NUMERIC,yes,19.84,1.323,mzip
Integer array,1MB,1048576,52614,319051,363956,359174,114888,0,114974,69538,0,0,992.89,300.28,22.43,5.35,NUMERIC,yes,19.93,1.322,mzip
Makefile,16KB,16384,1449,1904,2161,1893,1892,0,1968,2118,0,0,104.84,16.29,14.32,0.04,UNKNOWN,yes,11.31,1.306,mzip
Makefile,256KB,262144,13060,18580,25342,19452,17004,0,17089,23045,0,0,711.70,340.66,18.25,0.28,UNKNOWN,yes,20.07,1.302,mzip
Makefile,64KB,65536,3876,5330,6883,5276,5024,0,5107,6414,0,0,221.40,62.41,17.70,0.09,UNKNOWN,yes,16.91,1.296,mzip
CSV data,16KB,16347,2313,3328,4135,3695,2984,0,3061,4459,0,0,106.34,9.17,19.56,0.05,CSV_COLUMNAR,yes,7.07,1.290,mzip
Timestamps (jitter),4KB,4096,923,3282,3232,3283,2172,0,2250,1180,0,0,59.44,0.41,13.82,0.02,NUMERIC,yes,4.44,1.278,mzip
Sparse bitmap,64KB,65536,689,1251,1244,880,1460,0,1544,1369,0,0,125.38,51.77,14.34,0.04,SPARSE,yes,95.12,1.277,mzip
GPS coordinates,16KB,16384,2582,9555,9766,11801,6636,0,6713,3207,0,0,66.84,3.92,13.41,0.09,NUMERIC,yes,6.35,1.242,mzip
CSV data,1MB,1048553,102941,180051,228589,197498,125500,0,125585,228621,0,0,2692.28,782.03,37.16,2.81,CSV_COLUMNAR,yes,10.19,1.219,mzip
CSV data,256KB,262112,28143,44898,58003,51771,34120,0,34204,60258,0,0,698.08,243.25,21.16,0.61,CSV_COLUMNAR,yes,9.31,1.212,mzip
JavaScript,16KB,16384,1983,2532,2602,2392,2544,0,2621,2703,0,0,117.34,13.78,13.79,0.04,CODE_STREAM,yes,8.26,1.206,mzip
CSV data,64KB,65520,8298,12549,15283,13732,9988,0,10065,16704,0,0,183.10,36.09,18.21,0.15,CSV_COLUMNAR,yes,7.90,1.204,mzip
JavaScript,64KB,65536,4498,6852,7255,5319,6804,0,6879,7410,0,0,274.66,80.40,17.45,0.09,CODE_STREAM,yes,14.57,1.183,mzip
Timestamps (jitter),16KB,16384,3613,13395,12824,12865,8384,0,8460,4269,0,0,67.19,1.69,14.35,0.04,NUMERIC,yes,4.53,1.182,mzip
JavaScript,256KB,262144,11393,20474,24970,13230,20508,0,20593,22439,0,0,919.28,314.19,22.25,0.26,CODE_STREAM,yes,23.01,1.161,mzip
GPS coordinates,1MB,1048576,158365,606341,619990,747826,417148,0,417233,183429,0,0,1061.64,332.13,16.51,5.45,NUMERIC,yes,6.62,1.158,mzip
GPS coordinates,256KB,262144,39663,151725,155147,187183,104392,0,104475,45686,0,0,263.45,76.69,16.89,1.31,NUMERIC,yes,6.61,1.152,mzip
JavaScript,1MB,1048576,38310,67586,95036,44108,68500,0,68584,75302,0,0,2899.80,1016.01,46.31,0.70,CODE_STREAM,yes,27.37,1.151,mzip
XML document,4KB,3973,292,336,472,423,444,0,519,491,0,0,60.14,2.45,15.08,0.02,LINE_GROUP_TPL,yes,13.61,1.151,mzip
JSON structured log,64KB,65536,7345,8446,9194,8468,8680,0,8763,10416,0,0,144.18,48.05,13.38,0.08,UNKNOWN,yes,8.92,1.150,mzip
GPS coordinates,64KB,65536,9980,38300,38829,46979,26184,0,26260,11452,0,0,116.29,17.45,17.05,0.31,NUMERIC,yes,6.57,1.147,mzip
Sparse bitmap,256KB,262144,2682,4485,4644,3076,5424,0,5508,5061,0,0,246.87,160.92,15.50,0.10,SPARSE,yes,97.74,1.147,mzip
Python,1MB,1048576,36546,64560,97787,41125,68092,0,68176,72135,0,0,2000.30,1030.59,43.00,0.73,BWT_TEXT,yes,28.69,1.125,mzip
Access log,256KB,262144,22406,31814,32820,25139,30212,0,30297,37491,0,0,352.76,154.40,18.40,0.26,TEMPLATE,yes,11.70,1.122,mzip
K8s manifests,1MB,1048576,22444,33607,50913,24967,40172,0,40256,38840,0,0,1560.05,741.92,42.03,0.44,BWT_TEXT,yes,46.72,1.112,mzip
Java,1MB,1048576,33445,55562,79186,37186,54988,0,55071,61723,0,0,1617.71,648.65,43.94,0.67,BWT_TEXT,yes,31.35,1.112,mzip
Access log,1MB,1048576,87179,124277,129867,96667,116688,0,116773,145040,0,0,1489.29,628.04,45.43,1.05,TEMPLATE,yes,12.03,1.109,mzip
Sensor 16-bit,4KB,4096,1787,2492,2464,1969,2436,0,2512,2512,0,0,59.33,1.07,15.20,0.02,NUMERIC,yes,2.29,1.102,mzip
Timestamps (jitter),64KB,65536,14365,56302,51530,51628,33176,0,33253,15798,0,0,104.55,10.82,17.37,0.19,NUMERIC,yes,4.56,1.100,mzip
PHP,1MB,1048576,25816,43540,59268,28242,44760,0,44846,49245,0,0,2079.29,1166.21,43.00,0.57,BWT_TEXT,yes,40.62,1.094,mzip
Executable,64KB,65536,32757,43802,42966,43549,41996,0,42082,35805,0,0,137.48,21.24,15.88,0.21,NUMERIC,yes,2.00,1.093,mzip
Sparse bitmap,1MB,1048576,10629,17706,18333,11614,21136,0,21219,19564,0,0,618.06,459.79,12.84,0.32,SPARSE,yes,98.65,1.093,mzip
CSV data,4KB,4047,826,902,1176,1068,976,0,1052,1243,0,0,63.50,1.60,12.63,0.02,CSV_COLUMNAR,yes,4.90,1.092,mzip
Timestamps (jitter),1MB,1048576,229406,850407,824669,838024,528472,0,528558,250393,0,0,938.62,269.30,19.65,3.23,NUMERIC,yes,4.57,1.091,mzip
Timestamps (jitter),256KB,262144,57374,212551,206200,206653,132232,0,132316,62608,0,0,258.46,53.21,17.44,0.73,NUMERIC,yes,4.57,1.091,mzip
Access log,16KB,16384,1906,2288,2403,2078,2372,0,2448,2718,0,0,22.46,9.12,14.75,0.03,TEMPLATE,yes,8.60,1.090,mzip
Go,1MB,1048576,26843,44713,58102,29183,48948,0,49031,48957,0,0,2145.20,1160.96,43.53,0.50,BWT_TEXT,yes,39.06,1.087,mzip
Executable,1MB,1048576,500972,702996,682424,682685,660972,0,661056,540390,0,0,1365.19,313.89,15.22,2.99,NUMERIC,yes,2.09,1.079,mzip
Rust,1MB,1048576,29699,49605,64701,32026,53412,0,53495,55409,0,0,1710.40,867.78,46.39,0.55,BWT_TEXT,yes,35.31,1.078,mzip
Syslog,4KB,4096,836,925,976,897,1020,0,1097,1097,0,0,6.39,1.58,11.11,0.01,TEMPLATE,yes,4.90,1.073,mzip
C,1MB,1048576,51736,79080,101555,55450,82548,0,82631,88330,0,0,1965.25,950.00,50.33,0.83,BWT_TEXT,yes,20.27,1.072,mzip
Access log,64KB,65536,6496,8246,8570,6951,8108,0,8184,9931,0,0,93.38,45.99,13.73,0.09,TEMPLATE,yes,10.09,1.070,mzip
GraphQL queries,1MB,1048576,27402,49037,62686,29312,55592,0,55677,55413,0,0,1959.97,1094.43,45.87,0.57,BWT_TEXT,yes,38.27,1.070,mzip
INI config,1MB,1048576,148248,209497,210227,158103,200100,0,200186,218328,0,0,1414.96,687.53,25.51,1.63,KV_CONFIG,yes,7.07,1.066,mzip
Executable,4KB,4096,2084,2689,2682,2842,2756,0,2834,2222,0,0,59.02,1.55,13.29,0.02,NUMERIC,yes,1.97,1.066,mzip
Executable,256KB,262144,127999,175778,171097,171897,166256,0,166342,136145,0,0,405.40,78.65,18.48,0.82,NUMERIC,yes,2.05,1.064,mzip
