type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Database IDs,1MB,1048576,32,93468,198500,42004,34128,27669,34212,3417,0,0,989.51,810.08,11.40,2.34,LINEAR_GEN,yes,32768.00,106.781,mzip
Timestamps (regular),1MB,1048576,32,560113,663735,454876,360996,411619,361081,2693,0,0,507.90,248.30,11.60,3.76,LINEAR_GEN,yes,32768.00,84.156,mzip
Database IDs,256KB,262144,32,27349,49666,9531,9980,12485,10063,937,0,0,386.01,296.14,10.68,0.68,LINEAR_GEN,yes,8192.00,29.281,mzip
Timestamps (regular),256KB,262144,32,139895,167795,111741,90436,103889,90519,772,0,0,161.65,61.22,11.30,0.98,LINEAR_GEN,yes,8192.00,24.125,mzip
Database IDs,64KB,65536,32,8351,12480,2739,3388,1578,3463,301,0,0,71.96,23.82,10.26,0.15,LINEAR_GEN,yes,2048.00,9.406,mzip
Timestamps (regular),64KB,65536,32,36609,43776,27625,22776,28320,22852,287,0,0,61.65,10.04,10.37,0.19,LINEAR_GEN,yes,2048.00,8.969,mzip
Image gradient,256KB,262144,53,323,1125,774,576,764,662,602,0,0,149.83,4.16,13.54,0.09,NUMERIC,yes,4946.11,6.094,mzip
Image gradient,64KB,65536,39,212,318,377,268,221,351,264,0,0,74.20,1.22,11.25,0.03,NUMERIC,yes,1680.41,5.436,mzip
Timestamps (regular),16KB,16384,32,8881,11285,6968,5888,7793,5965,160,0,0,60.69,2.08,13.85,0.06,LINEAR_GEN,yes,512.00,5.000,mzip
JSON API,1MB,1048457,10046,60095,88600,59380,49256,55160,49339,87856,0,0,1955.92,1352.15,32.66,1.01,TEMPLATE,yes,104.37,4.903,mzip
Timestamps (regular),4KB,4096,30,2243,2860,2005,1644,2539,1721,142,0,0,39.42,0.51,10.83,0.02,LINEAR_GEN,yes,136.53,4.733,mzip
JSON API,256KB,262081,2874,15975,22459,15455,13092,14582,13176,22702,0,0,628.07,495.48,16.24,0.28,TEMPLATE,yes,91.19,4.555,mzip
Database IDs,4KB,4096,30,389,847,577,456,372,532,126,0,0,43.77,2.03,11.15,0.02,LINEAR_GEN,yes,136.53,4.200,mzip
Database IDs,16KB,16384,32,1478,3160,1024,1196,813,1273,131,0,0,65.51,12.23,13.27,0.05,LINEAR_GEN,yes,512.00,4.094,mzip
JSON API,64KB,65392,1016,4211,5807,4196,3740,3985,3816,5868,0,0,93.84,56.44,11.73,0.08,TEMPLATE,yes,64.36,3.681,mzip
Image gradient,1MB,1048576,124,397,4378,1048,1580,1036,1665,1769,0,0,519.53,11.02,14.36,0.29,NUMERIC,yes,8456.26,3.202,mzip
XML document,1MB,1048528,10383,36811,72735,48964,30256,35364,30339,63665,0,0,2348.94,1506.72,30.92,1.00,LINE_GROUP_TPL,yes,100.99,2.914,mzip
XML document,256KB,262048,2966,10168,18591,12942,8180,10010,8264,16664,0,0,719.56,490.57,15.66,0.26,LINE_GROUP_TPL,yes,88.35,2.758,mzip
Audio PCM,64KB,65536,1696,4363,4824,7031,4428,4066,4512,11229,0,0,76.19,1.21,12.22,0.02,NUMERIC,yes,38.64,2.397,mzip
Audio PCM,16KB,16384,1703,4362,4476,6517,4400,4066,4475,7150,0,0,50.13,0.37,11.51,0.01,NUMERIC,yes,9.62,2.388,mzip
Audio PCM,256KB,262144,1708,4378,6103,9108,4456,4067,4542,14091,0,0,181.60,3.02,11.15,0.07,NUMERIC,yes,153.48,2.381,mzip
Audio PCM,1MB,1048576,1774,4444,11233,19953,4568,4067,4653,19743,0,0,632.63,11.78,12.98,0.25,NUMERIC,yes,591.08,2.293,mzip
JSON API,16KB,16320,488,1163,1620,1220,1228,1099,1306,1646,0,0,26.35,15.11,11.14,0.03,TEMPLATE,yes,33.44,2.252,mzip
XML document,64KB,65499,1020,2814,4922,3480,2288,2645,2365,4156,0,0,142.10,66.95,11.68,0.09,LINE_GROUP_TPL,yes,64.21,2.243,mzip
Float temperature,1MB,1048576,155452,453500,478563,449012,338980,376687,339063,644801,0,0,1313.24,270.51,13.63,3.30,NUMERIC,yes,6.75,2.181,mzip
Float temperature,256KB,262144,41413,113864,118803,116520,89780,97586,89863,153815,0,0,356.18,69.24,10.83,0.82,NUMERIC,yes,6.33,2.168,mzip
Audio PCM,4KB,4096,1582,4052,4062,4180,4052,3784,4127,3424,0,0,43.56,0.38,10.65,0.01,NUMERIC,yes,2.59,2.164,mzip
Float temperature,16KB,16384,3493,8494,8679,9165,7424,7991,7499,11237,0,0,57.95,3.57,11.99,0.06,NUMERIC,yes,4.69,2.125,mzip
Float temperature,64KB,65536,11817,28686,29695,29786,23492,25070,23567,38911,0,0,125.54,18.71,10.74,0.19,NUMERIC,yes,5.55,1.988,mzip
Float temperature,4KB,4096,1296,2549,2601,2794,2464,2547,2542,2612,0,0,47.73,0.78,10.98,0.02,NUMERIC,yes,3.16,1.901,mzip
XML document,16KB,16329,476,848,1388,1078,908,853,984,1311,0,0,67.66,16.53,11.07,0.03,LINE_GROUP_TPL,yes,34.30,1.782,mzip
GPS coordinates,4KB,4096,673,2363,2493,3043,1760,1759,1836,1138,0,0,50.72,0.68,11.76,0.03,NUMERIC,yes,6.09,1.691,mzip
Image gradient,16KB,16384,38,74,109,127,152,64,228,158,0,0,44.16,0.12,10.09,0.01,NUMERIC,yes,431.16,1.684,mzip
Sparse bitmap,4KB,4096,62,105,128,116,172,94,250,204,0,0,65.29,5.43,15.45,0.02,SPARSE,yes,66.06,1.516,mzip
Integer array,4KB,4096,283,1088,1512,1397,784,1167,861,427,0,0,49.53,0.70,10.41,0.02,NUMERIC,yes,14.47,1.509,mzip
Sparse bitmap,16KB,16384,192,336,347,275,448,296,525,445,0,0,61.68,13.51,14.60,0.01,SPARSE,yes,85.33,1.432,mzip
Integer array,16KB,16384,896,4257,5750,5545,2396,4561,2472,1259,0,0,49.91,3.00,10.55,0.09,NUMERIC,yes,18.29,1.405,mzip
CSV data,256KB,262112,24525,44898,58003,51771,34120,37369,34204,60258,0,0,622.22,194.57,16.15,0.59,CSV_COLUMNAR,yes,10.69,1.391,mzip
CSV data,1MB,1048553,91075,180051,228589,197498,125500,142806,125585,228621,0,0,2660.08,699.25,35.27,2.73,CSV_COLUMNAR,yes,11.51,1.378,mzip
