type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Database IDs,1MB,1048576,32,93468,198500,42004,34128,27669,34212,3417,0,0,1133.21,948.39,12.75,2.41,LINEAR_GEN,yes,32768.00,106.781,mzip
Timestamps (regular),1MB,1048576,32,560113,663735,454876,360996,411619,361081,2693,0,0,616.75,327.82,14.74,4.47,LINEAR_GEN,yes,32768.00,84.156,mzip
Database IDs,256KB,262144,32,27349,49666,9531,9980,12485,10063,937,0,0,504.20,433.35,14.54,0.84,LINEAR_GEN,yes,8192.00,29.281,mzip
Timestamps (regular),256KB,262144,32,139895,167795,111741,90436,103889,90519,772,0,0,168.01,83.92,11.66,0.98,LINEAR_GEN,yes,8192.00,24.125,mzip
Database IDs,64KB,65536,32,8351,12480,2739,3388,1578,3463,301,0,0,74.54,23.28,11.09,0.15,LINEAR_GEN,yes,2048.00,9.406,mzip
Timestamps (regular),64KB,65536,32,36609,43776,27625,22776,28320,22852,287,0,0,64.71,9.92,11.96,0.21,LINEAR_GEN,yes,2048.00,8.969,mzip
Image gradient,256KB,262144,53,323,1125,774,576,764,662,602,0,0,221.46,5.26,19.34,0.11,NUMERIC,yes,4946.11,6.094,mzip
Image gradient,64KB,65536,39,212,318,377,268,221,351,264,0,0,75.48,1.00,14.90,0.03,NUMERIC,yes,1680.41,5.436,mzip
Timestamps (regular),16KB,16384,32,8881,11285,6968,5888,7793,5965,160,0,0,51.00,2.87,17.45,0.06,LINEAR_GEN,yes,512.00,5.000,mzip
JSON API,1MB,1048457,10046,60095,88600,59380,49256,55160,49339,87856,0,0,2170.67,1420.54,33.32,1.01,TEMPLATE,yes,104.37,4.903,mzip
Timestamps (regular),4KB,4096,30,2243,2860,2005,1644,2539,1721,142,0,0,46.30,0.49,13.48,0.02,LINEAR_GEN,yes,136.53,4.733,mzip
JSON API,256KB,262081,2874,15975,22459,15455,13092,14582,13176,22702,0,0,674.55,523.64,18.51,0.30,TEMPLATE,yes,91.19,4.555,mzip
Database IDs,4KB,4096,30,389,847,577,456,372,532,126,0,0,48.63,2.14,13.85,0.02,LINEAR_GEN,yes,136.53,4.200,mzip
Database IDs,16KB,16384,32,1478,3160,1024,1196,813,1273,131,0,0,59.77,13.33,13.35,0.06,LINEAR_GEN,yes,512.00,4.094,mzip
JSON API,64KB,65392,1016,4211,5807,4196,3740,3985,3816,5868,0,0,96.53,56.20,15.23,0.09,TEMPLATE,yes,64.36,3.681,mzip
Image gradient,1MB,1048576,124,397,4378,1048,1580,1036,1665,1769,0,0,541.39,9.73,15.17,0.25,NUMERIC,yes,8456.26,3.202,mzip
XML document,1MB,1048528,10383,36811,72735,48964,30256,35364,30339,63665,0,0,2382.75,1532.64,31.98,0.99,LINE_GROUP_TPL,yes,100.99,2.914,mzip
XML document,256KB,262048,2966,10168,18591,12942,8180,10010,8264,16664,0,0,855.55,548.79,20.45,0.26,LINE_GROUP_TPL,yes,88.35,2.758,mzip
Audio PCM,64KB,65536,1696,4363,4824,7031,4428,4066,4512,11229,0,0,87.03,1.00,14.81,0.02,NUMERIC,yes,38.64,2.397,mzip
Audio PCM,16KB,16384,1703,4362,4476,6517,4400,4066,4475,7150,0,0,55.54,0.44,13.78,0.02,NUMERIC,yes,9.62,2.388,mzip
Audio PCM,256KB,262144,1708,4378,6103,9108,4456,4067,4542,14091,0,0,341.21,5.31,25.70,0.13,NUMERIC,yes,153.48,2.381,mzip
Audio PCM,1MB,1048576,1774,4444,11233,19953,4568,4067,4653,19743,0,0,640.01,10.07,13.68,0.23,NUMERIC,yes,591.08,2.293,mzip
JSON API,16KB,16320,488,1163,1620,1220,1228,1099,1306,1646,0,0,31.33,15.20,12.38,0.03,TEMPLATE,yes,33.44,2.252,mzip
XML document,64KB,65499,1020,2814,4922,3480,2288,2645,2365,4156,0,0,153.83,63.42,13.43,0.08,LINE_GROUP_TPL,yes,64.21,2.243,mzip
Float temperature,1MB,1048576,155452,453500,478563,449012,338980,376687,339063,644801,0,0,1544.41,372.17,16.52,3.58,NUMERIC,yes,6.75,2.181,mzip
Float temperature,256KB,262144,41413,113864,118803,116520,89780,97586,89863,153815,0,0,408.36,102.51,13.87,0.99,NUMERIC,yes,6.33,2.168,mzip
Audio PCM,4KB,4096,1582,4052,4062,4180,4052,3784,4127,3424,0,0,69.35,0.38,17.19,0.01,NUMERIC,yes,2.59,2.164,mzip
Float temperature,16KB,16384,3493,8494,8679,9165,7424,7991,7499,11237,0,0,67.79,4.63,15.81,0.08,NUMERIC,yes,4.69,2.125,mzip
Float temperature,64KB,65536,11817,28686,29695,29786,23492,25070,23567,38911,0,0,126.68,18.78,12.24,0.19,NUMERIC,yes,5.55,1.988,mzip
Float temperature,4KB,4096,1296,2549,2601,2794,2464,2547,2542,2612,0,0,61.04,1.00,16.25,0.03,NUMERIC,yes,3.16,1.901,mzip
XML document,16KB,16329,476,848,1388,1078,908,853,984,1311,0,0,73.35,16.73,12.78,0.03,LINE_GROUP_TPL,yes,34.30,1.782,mzip
GPS coordinates,4KB,4096,673,2363,2493,3043,1760,1759,1836,1138,0,0,51.79,0.68,13.91,0.02,NUMERIC,yes,6.09,1.691,mzip
Image gradient,16KB,16384,38,74,109,127,152,64,228,158,0,0,50.70,0.12,12.24,0.01,NUMERIC,yes,431.16,1.684,mzip
Sparse bitmap,4KB,4096,62,105,128,116,172,94,250,204,0,0,56.74,3.75,13.21,0.01,SPARSE,yes,66.06,1.516,mzip
Integer array,4KB,4096,283,1088,1512,1397,784,1167,861,427,0,0,50.37,0.70,11.91,0.02,NUMERIC,yes,14.47,1.509,mzip
